Lambda,Sharpe,Retorno,Varianza,Desviacion,COPEC,CTC-A,CAP,COLBUN,ENDESA,ENTEL
0.0,0.01928971288681649,0.0004,0.00043,0.02073644135332772,0.0,1.0,0.0,0.0,0.0,0.0
0.1,0.01928971288681649,0.0004,0.00043,0.02073644135332772,0.0,1.0,0.0,0.0,0.0,0.0
0.2,0.01928971288681649,0.0004,0.00043,0.02073644135332772,0.0,1.0,0.0,0.0,0.0,0.0
0.3,0.01928971288681649,0.0004,0.00043,0.02073644135332772,0.0,1.0,0.0,0.0,0.0,0.0
0.4,0.019078300277844414,0.0003554266993337283,0.00034707292595546234,0.018629893342568076,0.17476604806728627,0.7931669817566656,0.0,0.0,0.0,0.03206697017604821
0.5,0.01827657084942315,0.00031419143412414225,0.0002955284204274993,0.017190940068172518,0.23506706015361303,0.6356157603626031,0.0,0.0,0.0,0.12931717948378377
0.6,0.01736410011339162,0.0002867030826854707,0.00027262153761994484,0.016511254877202546,0.27525157824073493,0.5305930828713239,0.0,0.0,0.0,0.19415533888794134
0.7,0.015574636882092981,0.00024770925068726796,0.00025295810035459905,0.01590465656198206,0.2883256164444736,0.4436774633407432,0.0,0.03743828936684838,0.0,0.23055863084793493
0.8,0.009031000437003273,0.00013256738125708457,0.00021547735107323705,0.014679146810126161,0.22344218593386037,0.318823081447821,0.07547540904265164,0.11920425927640567,0.049679898142764904,0.2133751661564964
0.9,0.0014250065144102394,1.9906085804102588e-05,0.00019513629011666422,0.013969119160371716,0.152718596227157,0.20660075079435697,0.17936215158061636,0.17187237577869166,0.10144817814385425,0.1879979474753238
1.0,-0.005093563206914108,-7.023365744414181e-05,0.00019012847753749776,0.013788708334630107,0.09612428424419052,0.11681355382563624,0.2624831564068886,0.21400960761497456,0.14286619279903,0.16770320510928013
