semilla,mejor_fitness,accuracy_test,parametros,arquitectura,variables_seleccionadas
42,0.9234598396687101,0.8444444444444444,747,"(16, 34)",3
123,0.9337255326961603,0.9111111111111111,187,"(16, 6)",3
456,0.9284250612868664,0.9333333333333333,267,"(16, 10)",3
789,0.9304789955584456,0.9111111111111111,107,"(16, 2)",3
1011,0.9159435113659071,0.9777777777777777,443,"(16, 18)",4
1213,0.9255544535122944,0.8444444444444444,711,"(16, 33)",2
1415,0.9191966790543644,0.9555555555555556,123,"(16, 2)",4
1617,0.9274023377035521,0.8666666666666667,91,"(16, 2)",2
1819,0.9311616953540873,0.8666666666666667,171,"(16, 6)",2
2021,0.9182558450591194,0.9555555555555556,163,"(16, 4)",4
